nombre_atributo,descripcion,tipo_dato,formato_o_unidad,valores_posibles,codigo_valores_faltantes
nombre_paradero,Nombre oficial del paradero o cruce de referencia,Cadena de texto,Texto libre,"Nombres oficiales (ej. 'Honorio Delgado', 'Javier Prado', 'Angamos')",Ninguno
distrito,Distrito politico-administrativo de ubicacion,Categorico / Cadena,Nombre de distrito en Proper Case,"'Miraflores', 'San Isidro', 'Magdalena del Mar', 'Jesus Maria', etc.",Ninguno
corredor_vial,Eje vial o corredor de transporte asignado por la ATU,Categorico / Cadena,Texto,"'Corredor Rojo', 'Corredor Azul', 'Corredor Morado', 'Via Expresa', 'NA'",'NA' (Vias secundarias)
latitud,Coordenada de latitud geografica del paradero,Flotante (Numerico),Grados decimales (WGS84),[-12.3395 a -11.7590],Ninguno
longitud,Coordenada de longitud geografica del paradero,Flotante (Numerico),Grados decimales (WGS84),[-77.1655 a -76.8175],Ninguno
tipo_transporte,Modalidad de transporte publico autorizada,Categorico / Cadena,Texto,"'Transporte Regular', 'Alimentador', 'Corredor', 'Troncal'",Ninguno
nivel_afluencia_cod,Codigo numerico del nivel de demanda de pasajeros,Categorico / Cadena,Codigo numerico,"'1', '2', '3', '4'",Ninguno
nivel_afluencia_desc,Descripcion cualitativa de la afluencia de pasajeros,Categorico / Cadena,Texto,"'Moderado', 'Alto', 'Muy Alto', 'Extremo'",Ninguno
timestamp_oficial,Marca de tiempo del registro en el sistema de la ATU,Fecha y Hora (DateTime),ISO 8601 (YYYY-MM-DDTHH:MM:SS.000Z),Marcas de tiempo validas,Ninguno
distrito_norm,"Distrito normalizado usado para el modelado: nombres unificados con nombres BCRP/ATU, typos corregidos (validados por geolocalizacion, ej. 'Barranca'->'Barranco'), y distritos con menos de 20 observaciones agrupados en la categoria 'Otros' para evitar sobreajuste en variables categoricas",Categorico / Cadena,Texto,"'Miraflores', 'San Isidro', 'Surco', 'Barranco', ..., 'Otros'",NaN
precio_m2_real,"Precio por metro cuadrado recalculado sobre el dataset limpio (precio_soles / area_total), posterior al filtro de outliers geograficos, de precio/area y de doble modalidad venta-alquiler",Flotante (Numerico),PEN / m² / mes,[10.0 - 150.0] aprox. (sobre df_clean),NaN
antiguedad_imputado,"Indicador binario de missingness: 1 si el valor de 'antiguedad' fue imputado (nulo en el dataset original), 0 si es un dato real capturado del portal o recuperado por texto",Flotante (Binario),0 o 1,"1 (Imputado), 0 (Dato real)",Ninguno
mantenimiento_imputado,"Indicador binario de missingness: 1 si el valor de 'mantenimiento' fue imputado, 0 si es un dato real",Flotante (Binario),0 o 1,"1 (Imputado), 0 (Dato real)",Ninguno
estacionamientos_imputado,"Indicador binario de missingness: 1 si el valor de 'estacionamientos' fue imputado. NOTA METODOLOGICA: este nulo es ambiguo -- solo 10.75% de los casos se confirma por texto como 'no tiene cochera', el 89.25% restante es dato no informado, por lo que no se asume ausencia categorica",Flotante (Binario),0 o 1,"1 (Imputado), 0 (Dato real)",Ninguno
banos_imputado,"Indicador binario de missingness: 1 si el valor de 'banos' fue imputado, 0 si es un dato real",Flotante (Binario),0 o 1,"1 (Imputado), 0 (Dato real)",Ninguno
area_construida_imputado,"Indicador binario de missingness: 1 si el valor de 'area_construida' fue imputado (se asume igual a area_total cuando falta), 0 si es un dato real",Flotante (Binario),0 o 1,"1 (Imputado), 0 (Dato real)",Ninguno
bcrp_es_promedio_general,"Indicador binario: 1 si el distrito del departamento no tiene serie propia en el panel BCRP y se le asigno el valor 'Promedio general' metropolitano como sustituto (unica forma de imputacion dentro del cruce con BCRP, a diferencia del resto del cruce que es integracion de datos)",Flotante (Binario),0 o 1,"1 (Usa promedio general), 0 (Serie distrital propia)",Ninguno
bcrp_per,"PER (Precio de Venta / Alquiler Anual) del distrito del departamento, tomado del trimestre BCRP mas reciente disponible (2026-T1); usa el valor 'Promedio general' si bcrp_es_promedio_general=1",Flotante (Numerico),Anos,[13.0 - 26.0],NaN
bcrp_precio_venta_usd_m2,"Precio de venta promedio en USD por m2 del distrito del departamento, segun el trimestre BCRP mas reciente (2026-T1)",Flotante (Numerico),US$ / m²,[1100.0 - 2700.0],NaN
bcrp_alquiler_mensual_m2,"Alquiler mensual implicito en soles por m2 del distrito del departamento, derivado de la formula PER/Precio de Venta/Tipo de Cambio, segun el trimestre BCRP mas reciente (2026-T1)",Flotante (Numerico),PEN / m² / mes,[17.0 - 55.0],NaN
dist_paradero_min_m,"Distancia en metros al paradero de transporte publico oficial (ATU) mas cercano, calculada mediante indexacion espacial (cKDTree) sobre las coordenadas GPS",Flotante (Numerico),Metros,[3.9 - 6053.0] (mediana: 174.8),NaN
paradero_cercano_tipo,Modalidad de transporte del paradero mas cercano al departamento,Categorico / Cadena,Texto,"'Transporte Regular', 'Alimentador', 'Corredor', 'Troncal'",NaN
paradero_cercano_afluencia,Nivel de afluencia de pasajeros del paradero mas cercano al departamento,Categorico / Cadena,Texto,"'Moderado', 'Alto', 'Muy Alto', 'Extremo'",NaN
paraderos_300m,Conteo de paraderos oficiales dentro de un radio de 300 metros del departamento,Entero (Numerico),Conteo / Cantidad,[0 - 20] aprox.,NaN
paraderos_500m,Conteo de paraderos oficiales dentro de un radio de 500 metros del departamento,Entero (Numerico),Conteo / Cantidad,[0 - 51] (media: 9.3),NaN
paraderos_1000m,Conteo de paraderos oficiales dentro de un radio de 1000 metros del departamento,Entero (Numerico),Conteo / Cantidad,[0 - 90] aprox.,NaN
dist_troncal_brt_m,Distancia en metros al paradero Troncal (BRT Metropolitano) mas cercano,Flotante (Numerico),Metros,[16.0 - 27526.6] (mediana aprox: 1767.8),NaN
dist_corredor_m,Distancia en metros al paradero de Corredor Complementario mas cercano,Flotante (Numerico),Metros,[7.0 - 25902.5],NaN
